# Time-averaged data for fix outW
# TimeStep Number-of-rows
# Row c_grW[1] c_grW[2] c_grW[3] c_grW[4] c_grW[5] c_grW[6] c_grW[7]
20000000 400
333 8.3125 0.991437 160.696 0.991162 80.2014 1.00421 160.546
334 8.3375 0.990939 162.148 0.991845 80.927 1.00386 162.017
335 8.3625 0.990237 163.609 0.992555 81.6576 1.00348 163.495
336 8.3875 0.989812 165.078 0.992978 82.3928 1.00317 164.982
337 8.4125 0.989269 166.554 0.994 83.1332 1.0027 166.477
338 8.4375 0.988764 168.039 0.994727 83.8785 1.00235 167.981
339 8.4625 0.988552 169.532 0.995179 84.6286 1.00189 169.493
340 8.4875 0.98838 171.034 0.995757 85.3836 1.0015 171.013
341 8.5125 0.988139 172.544 0.99652 86.1436 1.00102 172.541
342 8.5375 0.987997 174.063 0.997251 86.9086 1.00052 174.078
343 8.5625 0.987944 175.59 0.997871 87.6786 1.00037 175.623
344 8.5875 0.987896 177.127 0.998278 88.4534 0.999834 177.177
345 8.6125 0.987902 178.672 0.998757 89.2331 0.999357 178.739
346 8.6375 0.988113 180.227 0.999077 90.0176 0.998918 180.309
347 8.6625 0.98809 181.791 0.999715 90.8072 0.998545 181.888
348 8.6875 0.988307 183.364 1.00015 91.6016 0.998282 183.475
349 8.7125 0.988542 184.947 1.00065 92.4011 0.997606 185.071
350 8.7375 0.988799 186.539 1.00071 93.2052 0.997246 186.675
351 8.7625 0.989225 188.141 1.00105 94.0141 0.997005 188.288
352 8.7875 0.989355 189.752 1.00157 94.8281 0.996561 189.909
353 8.8125 0.989728 191.373 1.00161 95.6468 0.996247 191.54
354 8.8375 0.99014 193.004 1.00175 96.4702 0.996073 193.179
355 8.8625 0.990459 194.645 1.00209 97.2986 0.995712 194.827
356 8.8875 0.991031 196.296 1.00217 98.1318 0.995363 196.483
357 8.9125 0.991527 197.957 1.00242 98.9698 0.995257 198.149
358 8.9375 0.992028 199.628 1.00242 99.8126 0.995081 199.824
359 8.9625 0.992577 201.31 1.00253 100.66 0.995022 201.508
360 8.9875 0.99314 203.002 1.00285 101.513 0.994905 203.201
361 9.0125 0.993527 204.704 1.00299 102.37 0.994721 204.903
362 9.0375 0.994018 206.416 1.00339 103.233 0.994598 206.615
363 9.0625 0.994501 208.139 1.00315 104.1 0.99449 208.336
364 9.0875 0.995027 209.872 1.00312 104.972 0.994552 210.067
365 9.1125 0.995412 211.615 1.00299 105.848 0.994711 211.807
366 9.1375 0.995956 213.369 1.00322 106.73 0.994705 213.557
367 9.1625 0.99653 215.133 1.00286 107.616 0.99478 215.317
368 9.1875 0.997178 216.909 1.0027 108.507 0.994829 217.086
369 9.2125 0.997499 218.694 1.00246 109.402 0.994977 218.865
370 9.2375 0.9981 220.49 1.00237 110.302 0.99517 220.654
371 9.2625 0.998485 222.297 1.0023 111.207 0.995227 222.453
372 9.2875 0.998811 224.114 1.00211 112.117 0.995488 224.263
373 9.3125 0.999323 225.942 1.00202 113.032 0.995607 226.082
374 9.3375 0.9997 227.78 1.00228 113.952 0.995805 227.911
375 9.3625 1.00004 229.629 1.0019 114.876 0.996111 229.751
376 9.3875 1.00046 231.489 1.00179 115.805 0.996399 231.601
377 9.4125 1.00081 233.359 1.00177 116.739 0.996469 233.461
378 9.4375 1.00117 235.24 1.00188 117.678 0.99674 235.332
379 9.4625 1.00148 237.131 1.00192 118.623 0.996988 237.213
380 9.4875 1.00169 239.032 1.00166 119.571 0.997407 239.105
381 9.5125 1.00189 240.944 1.0014 120.525 0.997615 241.007
382 9.5375 1.00214 242.867 1.00173 121.484 0.997923 242.919
383 9.5625 1.00232 244.8 1.00169 122.448 0.99824 244.843
384 9.5875 1.00255 246.744 1.0011 123.417 0.99849 246.776
385 9.6125 1.00261 248.698 1.00116 124.39 0.998715 248.721
386 9.6375 1.00289 250.662 1.00092 125.369 0.998983 250.676
387 9.6625 1.00286 252.637 1.00086 126.352 0.999292 252.642
388 9.6875 1.00317 254.623 1.00125 127.341 0.999613 254.618
389 9.7125 1.00307 256.618 1.00101 128.335 0.999951 256.606
390 9.7375 1.00328 258.625 1.00095 129.334 1.00011 258.604
391 9.7625 1.0033 260.641 1.00079 130.338 1.00031 260.613
392 9.7875 1.00352 262.669 1.00056 131.347 1.00068 262.633
393 9.8125 1.00336 264.707 1.00064 132.361 1.00095 264.663
394 9.8375 1.00326 266.754 1.00065 133.38 1.00098 266.704
395 9.8625 1.0034 268.813 1.00073 134.404 1.00132 268.756
396 9.8875 1.0033 270.881 1.00103 135.434 1.00146 270.819
397 9.9125 1.0032 272.96 1.00099 136.47 1.00168 272.893
398 9.9375 1.00329 275.05 1.00102 137.51 1.00204 274.978
399 9.9625 1.00319 277.15 1.00135 138.556 1.0022 277.074
400 9.9875 1.00313 279.26 1.00126 139.607 1.00239 279.181
